P e2-e4;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P1000000000000000000000000P100000000000000000000000000000000000000P2P2P2P2P2P2P2P2R2N2B2Q2K2B2N2R2
P d7-d5;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P1000000000000000000000000P1000000000000P2000000000000000000000000P2P2P200P2P2P2P2R2N2B2Q2K2B2N2R2
P e4-d5;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P100000000000000000000000000000000000000P1000000000000000000000000P2P2P200P2P2P2P2R2N2B2Q2K2B2N2R2
Черные сдались;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P100000000000000000000000000000000000000P1000000000000000000000000P2P2P200P2P2P2P2R2N2B2Q2K2B2N2R2
